Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
2.471,24.01,69.70,1010.36,0.000000,0.000000,0.00,0,0,-0.9080,-0.1316,0.1121,39.4427,-22.1603,10.1145,0.924,0,DISABLED,0
2.525,24.01,69.70,1010.36,0.000000,0.000000,0.00,0,0,-0.8850,-0.0925,0.1602,30.7252,-3.9542,-1.9084,0.904,0,DISABLED,0
2.617,24.02,69.68,1010.38,0.000000,0.000000,0.00,0,0,-0.9158,-0.0175,0.1775,11.3969,-0.1298,2.7939,0.933,0,DISABLED,0
2.719,24.01,69.72,1010.35,0.000000,0.000000,0.00,0,0,-0.9077,-0.0603,0.1641,2.9160,2.2061,0.6641,0.924,0,DISABLED,0
2.843,24.00,69.70,1010.34,0.000000,0.000000,0.00,0,0,-0.8899,0.0007,0.1780,-3.0153,9.9924,2.4122,0.908,0,DISABLED,0
2.938,24.01,69.70,1010.35,0.000000,0.000000,0.00,0,0,-0.9033,-0.0466,0.1382,-9.2977,13.4733,-0.3664,0.915,0,DISABLED,0
3.019,24.01,69.70,1010.36,0.000000,0.000000,0.00,0,0,-0.9045,-0.0483,0.1096,-1.7939,-7.3817,-1.6489,0.912,0,DISABLED,0
3.074,24.01,69.70,1010.36,0.000000,0.000000,0.00,0,0,-0.8948,-0.0463,0.1592,2.3893,-14.5191,-3.2214,0.910,0,DISABLED,0
3.169,24.00,69.71,1010.35,0.000000,0.000000,0.00,0,0,-0.8943,-0.0544,0.1780,9.6947,-14.0534,-0.6107,0.913,0,DISABLED,0
3.251,24.03,69.70,1010.41,0.000000,0.000000,0.00,0,0,-0.8914,-0.0190,0.1877,20.8168,-16.2214,-5.4885,0.911,0,DISABLED,0
3.353,24.03,69.70,1010.38,0.000000,0.000000,0.00,0,0,-0.8733,0.0253,0.2312,18.1527,-12.0534,-6.9084,0.904,0,DISABLED,0
3.448,24.03,69.70,1010.36,0.000000,0.000000,0.00,0,0,-0.8445,0.0373,0.2407,9.0992,-5.3511,-10.7634,0.879,0,DISABLED,0
3.503,24.03,69.71,1010.38,0.000000,0.000000,0.00,0,0,-0.8950,0.0632,0.2368,1.3969,4.6947,-12.7634,0.928,0,DISABLED,0
3.564,24.03,69.71,1010.38,0.000000,0.000000,0.00,0,0,-0.8865,0.0791,0.2458,4.9466,-4.1756,-8.1145,0.923,0,DISABLED,0
3.623,24.01,69.69,1010.36,0.000000,0.000000,0.00,0,0,-0.8438,0.0778,0.2717,13.9695,-1.0229,-2.0000,0.890,0,DISABLED,0
3.682,24.01,69.69,1010.36,0.000000,0.000000,0.00,0,0,-0.8723,0.0805,0.2532,2.1985,4.0076,2.5649,0.912,0,DISABLED,0
3.742,24.01,69.65,1010.36,0.000000,0.000000,0.00,0,0,-0.8975,0.0844,0.2334,15.5573,1.4198,6.3511,0.931,0,DISABLED,0
3.800,24.02,69.67,1010.36,0.000000,0.000000,0.00,0,0,-0.8757,0.0742,0.2327,5.1298,-1.8092,0.0458,0.909,0,DISABLED,0
3.883,24.02,69.67,1010.36,0.000000,0.000000,0.00,0,0,-0.8704,0.0842,0.2471,7.8015,-12.6412,-4.6031,0.909,0,DISABLED,0
3.938,24.01,69.71,1010.33,0.000000,0.000000,0.00,0,0,-0.8130,0.1128,0.2764,10.8244,-0.8931,-4.1145,0.866,0,DISABLED,0
4.021,24.01,69.71,1010.33,0.000000,0.000000,0.00,0,0,-0.8237,0.1243,0.2964,13.5420,-1.6870,-2.5573,0.884,0,DISABLED,0
4.075,24.01,69.71,1010.33,0.000000,0.000000,0.00,0,0,-0.8767,0.1345,0.2896,2.4046,0.6489,-0.2061,0.933,0,DISABLED,0
4.135,24.02,69.67,1010.34,0.000000,0.000000,0.00,0,0,-0.8892,0.1157,0.2803,4.9313,1.8855,-0.4198,0.939,0,DISABLED,1
4.219,24.02,69.71,1010.34,0.000000,0.000000,0.00,0,0,-0.8618,0.1160,0.2769,8.1298,1.0534,-0.1908,0.913,0,DISABLED,1
