Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
5.320,28.95,68.24,1009.92,0.000000,0.000000,0.00,0,1,0.9382,-0.1750,0.5740,0.6565,1.7634,0.5802,1.114,0,DISABLED,0
5.376,28.95,68.29,1009.92,0.000000,0.000000,0.00,0,1,0.9397,-0.1724,0.5801,1.0840,1.6870,0.5496,1.118,0,DISABLED,0
5.431,28.95,68.29,1009.92,0.000000,0.000000,0.00,0,1,0.9502,-0.1758,0.5798,1.6641,1.4962,0.1450,1.127,0,DISABLED,0
5.489,28.93,68.22,1009.86,0.000000,0.000000,0.00,0,1,0.9456,-0.1760,0.5774,2.4656,1.3053,-0.6794,1.122,0,DISABLED,0
5.581,28.94,68.25,1009.89,0.000000,0.000000,0.00,0,1,0.9514,-0.1731,0.5784,2.8473,1.3664,-1.0687,1.127,0,DISABLED,0
5.635,28.94,68.26,1009.86,0.000000,0.000000,0.00,0,1,0.9355,-0.1733,0.5796,2.1450,1.5649,-0.5191,1.114,0,DISABLED,0
5.718,28.96,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9409,-0.1770,0.5793,1.5725,1.3893,-0.0763,1.119,0,DISABLED,0
5.799,28.96,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9431,-0.1792,0.5779,1.8092,1.4656,0.1221,1.121,0,DISABLED,0
5.853,28.96,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9412,-0.1702,0.5796,2.1374,1.4198,-0.3740,1.118,0,DISABLED,0
5.943,28.95,68.27,1009.92,0.000000,0.000000,0.00,0,1,0.9524,-0.1765,0.5837,2.5267,1.1832,-0.8092,1.131,0,DISABLED,0
6.060,28.94,68.22,1009.91,0.000000,0.000000,0.00,0,1,0.9414,-0.1780,0.5796,2.1069,1.4427,-0.5802,1.120,0,DISABLED,0
6.114,28.94,68.24,1009.88,0.000000,0.000000,0.00,0,1,0.9436,-0.1809,0.5811,1.0229,1.8779,0.3664,1.123,0,DISABLED,0
6.196,28.93,68.24,1009.88,0.000000,0.000000,0.00,0,1,0.9434,-0.1824,0.5801,1.0916,1.8015,0.4656,1.122,0,DISABLED,0
6.320,28.96,68.26,1009.93,0.000000,0.000000,0.00,0,1,0.9541,-0.1814,0.5823,0.0000,1.8702,1.4656,1.132,0,DISABLED,0
6.375,28.97,68.25,1009.94,0.000000,0.000000,0.00,0,1,0.9380,-0.1719,0.5786,-1.3206,2.2290,2.2443,1.115,0,DISABLED,1
6.435,28.97,68.25,1009.94,0.000000,0.000000,0.00,0,1,0.9392,-0.1682,0.5823,-2.7863,2.7481,3.2672,1.118,0,DISABLED,1
6.492,28.93,68.20,1009.89,0.000000,0.000000,0.00,0,1,0.9438,-0.1765,0.5781,-3.1145,2.6870,3.8855,1.121,0,DISABLED,1
6.551,28.96,68.26,1009.93,0.000000,0.000000,0.00,0,1,0.9492,-0.1694,0.5815,-0.3435,2.0611,1.8626,1.126,0,DISABLED,1
6.611,28.96,68.26,1009.93,0.000000,0.000000,0.00,0,1,0.9509,-0.1802,0.5747,2.0153,1.4656,-0.1603,1.126,0,DISABLED,1
6.670,28.95,68.21,1009.92,0.000000,0.000000,0.00,0,1,0.9497,-0.1733,0.5781,3.2290,1.1450,-1.1221,1.125,0,DISABLED,1
6.730,28.95,68.21,1009.92,0.000000,0.000000,0.00,0,1,0.9517,-0.1758,0.5874,4.8779,0.4656,-2.6718,1.132,0,DISABLED,1
6.787,28.96,68.19,1009.90,0.000000,0.000000,0.00,0,1,0.9458,-0.1775,0.5806,5.4198,0.3893,-2.9924,1.124,0,DISABLED,1
6.846,28.95,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9402,-0.1755,0.5869,3.6412,0.9695,-1.9084,1.122,0,DISABLED,1
6.929,28.95,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9304,-0.1738,0.5771,-0.5267,2.0611,2.0382,1.109,0,DISABLED,1
6.983,28.97,68.26,1009.92,0.000000,0.000000,0.00,0,1,0.9441,-0.1733,0.5776,-2.4656,2.6870,3.5344,1.120,0,DISABLED,1
7.079,28.94,68.25,1009.88,0.000000,0.000000,0.00,0,1,0.9402,-0.1846,0.5796,-1.0458,2.0534,1.8931,1.120,0,DISABLED,1
7.133,28.97,68.25,1009.94,0.000000,0.000000,0.00,0,1,0.9468,-0.1787,0.5754,1.2290,1.4580,0.1985,1.122,0,DISABLED,1
7.186,28.97,68.25,1009.94,0.000000,0.000000,0.00,0,1,0.9375,-0.1731,0.5774,2.9924,1.2748,-0.9771,1.115,0,DISABLED,1
7.244,28.95,68.23,1009.89,0.000000,0.000000,0.00,0,1,0.9434,-0.1731,0.5767,3.2214,0.9924,-1.2214,1.119,0,DISABLED,1
7.350,28.95,68.24,1009.90,0.000000,0.000000,0.00,0,1,0.9490,-0.1697,0.5857,0.5725,1.6031,0.5802,1.128,0,DISABLED,1
7.404,28.95,68.23,1009.90,0.000000,0.000000,0.00,0,1,0.9468,-0.1711,0.5754,0.7634,1.8092,1.0763,1.121,0,DISABLED,1
7.486,28.96,68.23,1009.90,0.000000,0.000000,0.00,0,1,0.9551,-0.1736,0.5771,0.9618,1.8015,0.6489,1.129,0,DISABLED,1
7.609,28.97,68.20,1009.90,0.000000,0.000000,0.00,0,1,0.9407,-0.1702,0.5779,3.7786,0.9924,-1.7099,1.117,0,DISABLED,1
7.663,28.96,68.24,1009.88,0.000000,0.000000,0.00,0,1,0.9395,-0.1768,0.5823,2.7786,1.1527,-1.0840,1.119,0,DISABLED,1
7.723,28.94,68.25,1009.90,0.000000,0.000000,0.00,0,1,0.9448,-0.1804,0.5789,1.8931,1.3893,-0.2137,1.123,0,DISABLED,1
7.783,28.94,68.25,1009.90,0.000000,0.000000,0.00,0,1,0.9478,-0.1724,0.5769,1.5115,1.5573,-0.0992,1.123,0,DISABLED,1
7.872,28.95,68.25,1009.89,0.000000,0.000000,0.00,0,1,0.9375,-0.1750,0.5801,1.3511,1.5267,0.3435,1.116,0,DISABLED,1
7.975,28.97,68.25,1009.93,0.000000,0.000000,0.00,0,1,0.9446,-0.1697,0.5830,0.4046,1.8931,1.0687,1.123,0,DISABLED,1
8.070,28.97,68.22,1009.93,0.000000,0.000000,0.00,0,1,0.9421,-0.1758,0.5786,0.0229,1.8855,1.2519,1.120,0,DISABLED,1
8.124,28.97,68.21,1009.92,0.000000,0.000000,0.00,0,1,0.9541,-0.1697,0.5798,0.3969,1.8244,0.9466,1.129,0,DISABLED,1
8.220,28.94,68.24,1009.89,0.000000,0.000000,0.00,0,1,0.9377,-0.1726,0.5786,1.5573,1.3053,-0.0763,1.115,0,DISABLED,1
8.322,28.95,68.24,1009.89,0.000000,0.000000,0.00,0,1,0.9534,-0.1694,0.5791,3.1374,1.0840,-1.1374,1.128,0,DISABLED,1
8.376,28.95,68.24,1009.89,0.000000,0.000000,0.00,0,1,0.9458,-0.1758,0.5764,2.7176,1.2901,-0.9542,1.121,0,DISABLED,1
8.472,28.95,68.26,1009.86,0.000000,0.000000,0.00,0,1,0.9348,-0.1726,0.5828,1.2901,1.5725,0.0534,1.115,0,DISABLED,1
8.526,28.97,68.20,1009.91,0.000000,0.000000,0.00,0,1,0.9436,-0.1721,0.5806,-0.2061,2.1069,1.4275,1.121,0,DISABLED,1
8.585,28.97,68.20,1009.91,0.000000,0.000000,0.00,0,1,0.9448,-0.1768,0.5813,-0.4809,2.1908,2.0076,1.123,0,DISABLED,1
8.645,28.95,68.25,1009.88,0.000000,0.000000,0.00,0,1,0.9395,-0.1743,0.5742,-0.8321,2.0534,1.7328,1.115,0,DISABLED,1
8.703,28.96,68.23,1009.89,0.000000,0.000000,0.00,0,1,0.9460,-0.1733,0.5776,1.6031,1.4885,-0.0610,1.122,0,DISABLED,1
8.785,28.96,68.23,1009.89,0.000000,0.000000,0.00,0,1,0.9551,-0.1711,0.5769,1.7176,1.4198,-0.2061,1.129,0,DISABLED,1
8.838,28.97,68.24,1009.91,0.000000,0.000000,0.00,0,1,0.9409,-0.1729,0.5735,3.4122,0.9771,-1.2290,1.115,0,DISABLED,1
11.506,28.97,68.16,1009.94,0.000000,0.000000,0.00,0,1,0.9492,-0.1741,0.5825,-0.9847,2.0382,2.2214,1.127,0,DISABLED,2
11.623,28.97,68.15,1009.93,0.000000,0.000000,0.00,0,1,0.9509,-0.1821,0.5793,3.0305,1.1527,-1.3359,1.128,0,DISABLED,2
11.678,28.96,68.15,1009.91,0.000000,0.000000,0.00,0,1,0.9377,-0.1768,0.5776,3.8473,0.8702,-1.9313,1.115,0,DISABLED,2
11.774,28.95,68.17,1009.88,0.000000,0.000000,0.00,0,1,0.9470,-0.1858,0.5823,-2.7405,2.6107,3.2290,1.127,0,DISABLED,2
11.856,28.98,68.16,1009.93,0.000000,0.000000,0.00,0,1,0.9453,-0.1826,0.5745,-2.1985,2.4351,2.7939,1.121,0,DISABLED,2
11.911,28.98,68.16,1009.93,0.000000,0.000000,0.00,0,1,0.9426,-0.1787,0.5747,1.4198,1.5191,0.2748,1.118,0,DISABLED,2
11.970,28.97,68.17,1009.92,0.000000,0.000000,0.00,0,1,0.9517,-0.1821,0.5752,5.5191,0.5649,-2.9924,1.127,0,DISABLED,2
12.053,28.96,68.14,1009.87,0.000000,0.000000,0.00,0,1,0.9346,-0.1787,0.5811,4.5878,0.7023,-2.5191,1.115,0,DISABLED,2
12.108,28.96,68.14,1009.87,0.000000,0.000000,0.00,0,1,0.9360,-0.1770,0.5876,1.7099,1.4046,-0.1756,1.119,0,DISABLED,2
12.165,28.98,68.17,1009.91,0.000000,0.000000,0.00,0,1,0.9395,-0.1846,0.5828,-0.6489,2.1298,1.9084,1.121,0,DISABLED,2
12.270,28.96,68.14,1009.88,0.000000,0.000000,0.00,0,1,0.9470,-0.1736,0.5762,-2.5496,2.5344,3.3130,1.122,0,DISABLED,2
12.324,28.98,68.17,1009.90,0.000000,0.000000,0.00,0,1,0.9475,-0.1714,0.5796,-1.5649,2.2443,2.2595,1.124,0,DISABLED,2
12.387,28.98,68.17,1009.90,0.000000,0.000000,0.00,0,1,0.9478,-0.1794,0.5793,1.9389,1.2901,-0.5496,1.125,0,DISABLED,2
12.445,28.96,68.13,1009.87,0.000000,0.000000,0.00,0,1,0.9485,-0.1763,0.5757,6.2443,0.3435,-3.8702,1.123,0,DISABLED,2
12.565,28.98,68.16,1009.91,0.000000,0.000000,0.00,0,1,0.9392,-0.1721,0.5835,6.5038,0.2519,-4.2366,1.119,0,DISABLED,2
12.622,28.99,68.11,1009.89,0.000000,0.000000,0.00,0,1,0.9404,-0.1816,0.5828,2.5267,1.1603,-0.9389,1.121,0,DISABLED,3
12.684,28.99,68.11,1009.89,0.000000,0.000000,0.00,0,1,0.9380,-0.1848,0.5842,-1.6870,2.3130,2.7710,1.120,0,DISABLED,3
12.743,28.96,68.21,1009.86,0.000000,0.000000,0.00,0,1,0.9387,-0.1804,0.5762,-4.4809,3.1832,5.1985,1.116,0,DISABLED,3
12.801,28.98,68.13,1009.89,0.000000,0.000000,0.00,0,1,0.9453,-0.1812,0.5752,-4.1298,3.1298,4.7328,1.121,0,DISABLED,3
12.860,28.98,68.13,1009.89,0.000000,0.000000,0.00,0,1,0.9509,-0.1833,0.5784,-0.3969,1.9008,1.7786,1.128,0,DISABLED,3
12.920,28.97,68.15,1009.88,0.000000,0.000000,0.00,0,1,0.9561,-0.1816,0.5671,3.9389,0.6870,-1.7710,1.126,0,DISABLED,3
12.980,28.97,68.15,1009.88,0.000000,0.000000,0.00,0,1,0.9346,-0.1782,0.5796,6.7634,0.0687,-4.4427,1.114,0,DISABLED,3
13.039,28.97,68.14,1009.86,0.000000,0.000000,0.00,0,1,0.9434,-0.1841,0.5828,7.3893,0.1679,-4.4656,1.124,0,DISABLED,3
13.098,28.98,68.14,1009.90,0.000000,0.000000,0.00,0,1,0.9402,-0.1809,0.5825,4.4351,0.7634,-2.4885,1.121,0,DISABLED,3
13.190,28.98,68.14,1009.87,0.000000,0.000000,0.00,0,1,0.9451,-0.1780,0.5801,1.2366,1.6412,0.6870,1.123,0,DISABLED,3
13.292,28.97,68.12,1009.88,0.000000,0.000000,0.00,0,1,0.9387,-0.1831,0.5784,-1.6794,2.6489,2.6947,1.118,0,DISABLED,3
13.347,28.97,68.12,1009.88,0.000000,0.000000,0.00,0,1,0.9480,-0.1804,0.5789,-1.2977,2.4122,2.3664,1.125,0,DISABLED,3
13.409,28.96,68.15,1009.86,0.000000,0.000000,0.00,0,1,0.9563,-0.1855,0.5728,0.3511,1.7939,0.9008,1.130,0,DISABLED,3
13.492,28.98,68.11,1009.87,0.000000,0.000000,0.00,0,1,0.9409,-0.1782,0.5750,2.7634,1.3893,-0.7786,1.117,0,DISABLED,3
13.581,28.98,68.11,1009.92,0.000000,0.000000,0.00,0,1,0.9426,-0.1772,0.5864,-0.3359,1.9084,1.8168,1.124,0,DISABLED,3
13.669,28.97,68.09,1009.92,0.000000,0.000000,0.00,0,1,0.9441,-0.1814,0.5850,-2.4656,2.6107,3.7710,1.125,0,DISABLED,3
13.723,28.98,68.07,1009.88,0.000000,0.000000,0.00,0,1,0.9470,-0.1790,0.5801,-1.8168,2.4275,3.0076,1.125,0,DISABLED,3
