Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
2.317,22.70,71.79,1004.36,0.000000,0.000000,0.00,0,1,-0.5552,-0.4343,0.2998,-14.9695,73.1603,150.5649,0.766,0,NONE,0
2.373,22.70,71.79,1004.34,0.000000,0.000000,0.00,0,1,-0.5330,-0.6035,0.1675,52.4427,28.0229,71.7176,0.822,0,NONE,0
2.454,22.67,71.69,1004.28,0.000000,0.000000,0.00,0,1,-0.7473,-0.5811,0.1365,59.1908,59.6031,-13.5878,0.956,0,NONE,0
2.508,22.67,71.69,1004.28,0.000000,0.000000,0.00,0,1,-0.7083,-0.5647,0.0930,-46.8779,27.5802,12.1374,0.911,0,NONE,0
2.573,22.69,71.55,1004.31,0.000000,0.000000,0.00,0,1,-0.5461,-0.6990,0.1331,-69.3588,-14.1450,33.9389,0.897,0,NONE,0
2.634,22.70,71.44,1004.30,0.000000,0.000000,0.00,0,1,-0.6035,-0.6863,0.0449,-47.6489,21.7176,80.9084,0.915,0,NONE,0
2.694,22.70,71.32,1004.32,0.000000,0.000000,0.00,0,1,-0.1694,-0.8196,-0.2695,-14.2214,-25.5114,24.1374,0.879,0,NONE,0
2.776,22.70,71.32,1004.32,0.000000,0.000000,0.00,0,1,-0.2959,-0.7537,-0.2747,16.7481,-22.7023,3.8321,0.855,0,NONE,0
2.865,22.71,71.26,1004.33,0.000000,0.000000,0.00,0,1,-0.5066,-0.7573,0.0127,106.5496,-56.4733,-71.3511,0.911,0,NONE,0
2.967,22.71,71.20,1004.33,0.000000,0.000000,0.00,0,1,-0.9529,-0.6074,0.2241,-60.5573,-28.5267,63.0153,1.152,0,NONE,0
3.070,22.72,71.16,1004.33,0.000000,0.000000,0.00,0,1,-0.6924,-0.7788,0.4229,1.2977,-50.7405,3.6947,1.125,0,NONE,0
3.151,22.72,71.11,1004.33,0.000000,0.000000,0.00,0,1,-0.7112,-0.5596,0.3386,-34.8550,-37.1756,21.3969,0.966,0,NONE,0
3.205,22.72,71.11,1004.33,0.000000,0.000000,0.00,0,1,-0.4822,-0.3362,0.0024,-114.7481,-16.4580,29.7710,0.588,0,NONE,0
3.256,22.71,71.05,1004.35,0.000000,0.000000,0.00,0,1,-0.0368,-0.6184,0.3154,1.3664,-73.5802,-84.9237,0.695,0,NONE,0
3.317,22.69,71.04,1004.27,0.000000,0.000000,0.00,0,1,-0.4304,-0.3657,0.4805,31.8092,-129.4886,-176.6031,0.742,0,NONE,0
3.399,22.69,71.04,1004.27,0.000000,0.000000,0.00,0,1,-0.3743,-0.5432,1.0725,-41.5267,-184.0076,-185.2977,1.259,0,NONE,0
3.495,22.72,71.06,1004.35,0.000000,0.000000,0.00,0,1,-0.0947,-0.7004,1.3625,-85.2519,-92.0687,-126.4809,1.535,0,NONE,0
3.598,22.71,71.05,1004.33,0.000000,0.000000,0.00,0,1,-0.2249,-0.6074,1.0869,-11.2748,71.1832,51.0076,1.265,0,NONE,0
3.679,22.71,71.06,1004.33,0.000000,0.000000,0.00,0,1,0.2188,-0.5295,1.0742,-62.0992,-124.3588,73.4275,1.217,0,NONE,0
3.775,22.72,71.07,1004.38,0.000000,0.000000,0.00,0,1,0.2627,-0.5583,0.7673,-19.4809,-9.7405,121.4733,0.985,0,NONE,0
3.829,22.72,71.02,1004.30,0.000000,0.000000,0.00,0,1,0.2893,-0.4915,0.5874,-66.6641,-41.0611,50.2137,0.819,0,NONE,0
3.979,22.69,70.96,1004.30,0.000000,0.000000,0.00,0,1,0.4382,-0.5249,0.6282,-44.1603,-61.3664,77.6565,0.929,0,NONE,0
4.097,22.70,70.82,1004.30,0.000000,0.000000,0.00,0,1,0.6589,-0.8237,0.4807,-44.2443,-26.3740,156.1298,1.159,0,NONE,1
4.152,22.70,70.82,1004.30,0.000000,0.000000,0.00,0,1,0.5259,-0.5779,0.1453,-110.7176,78.6260,-17.7405,0.795,0,NONE,1
4.255,22.70,70.75,1004.31,0.000000,0.000000,0.00,0,1,0.5012,-0.9358,0.6897,-11.5802,4.1832,-7.6336,1.266,0,NONE,1
4.337,22.73,70.73,1004.38,0.000000,0.000000,0.00,0,1,0.5391,-0.5942,0.5378,-52.1298,42.5496,153.3817,0.966,0,NONE,1
4.439,22.73,70.65,1004.36,0.000000,0.000000,0.00,0,1,0.6243,-0.5784,-0.1001,-71.7786,8.5038,127.0382,0.857,0,NONE,1
4.534,22.73,70.68,1004.35,0.000000,0.000000,0.00,0,1,0.9790,-0.7095,1.3555,-41.5115,67.7786,-96.7328,1.816,0,NONE,1
4.637,22.73,70.64,1004.35,0.000000,0.000000,0.00,0,1,1.7778,0.4302,0.0976,11.9466,28.3969,-57.0153,1.832,0,NONE,1
4.753,22.73,70.63,1004.34,0.000000,0.000000,0.00,0,1,1.0764,-0.7913,0.2988,5.3969,49.8244,18.8550,1.369,0,NONE,1
4.807,22.72,70.66,1004.32,0.000000,0.000000,0.00,0,1,0.8293,-0.7134,0.3193,22.5038,32.0992,3.2748,1.140,0,NONE,1
4.917,22.71,70.64,1004.29,0.000000,0.000000,0.00,0,1,0.5759,-0.0417,-0.0749,21.9237,-8.5954,77.0763,0.582,0,NONE,1
5.035,22.75,70.64,1004.34,0.000000,0.000000,0.00,0,1,0.7502,-0.8081,0.3757,16.1527,9.9084,-55.8931,1.165,0,NONE,1
5.115,22.75,70.62,1004.33,0.000000,0.000000,0.00,0,1,0.7178,-0.7681,0.3396,15.9084,-38.2901,-46.4580,1.105,0,NONE,1
5.169,22.75,70.61,1004.34,0.000000,0.000000,0.00,0,1,0.7864,-0.8140,0.3130,30.6107,-6.3969,-14.4046,1.174,0,NONE,1
5.234,22.75,70.61,1004.34,0.000000,0.000000,0.00,0,1,0.6853,-0.8025,0.3613,32.4885,29.4733,-28.2214,1.115,0,NONE,1
5.325,22.72,70.62,1004.26,0.000000,0.000000,0.00,0,1,0.7856,-0.8062,0.3640,29.0916,-38.9618,25.4046,1.183,0,NONE,1
5.380,22.76,70.65,1004.32,0.000000,0.000000,0.00,0,1,0.6782,-0.8015,0.2915,23.3435,-45.2824,22.7023,1.090,0,NONE,1
5.442,22.76,70.65,1004.32,0.000000,0.000000,0.00,0,1,0.7007,-0.8589,0.2400,64.8473,-2.0076,15.2290,1.134,0,NONE,1
5.502,22.72,70.65,1004.29,0.000000,0.000000,0.00,0,1,1.0398,-0.9924,0.0886,81.8702,-28.1145,41.4733,1.440,0,NONE,1
5.563,22.75,70.58,1004.32,0.000000,0.000000,0.00,0,1,0.5574,-0.8267,0.2380,33.9084,-22.4962,48.6183,1.025,0,NONE,1
5.621,22.75,70.58,1004.32,0.000000,0.000000,0.00,0,1,0.4763,-0.6763,0.2170,70.9924,1.4733,-21.1527,0.855,0,NONE,1
5.730,22.74,70.66,1004.32,0.000000,0.000000,0.00,0,1,0.2603,-0.7388,0.3479,148.7023,-68.1985,-98.3740,0.857,0,NONE,1
5.825,22.76,70.70,1004.33,0.000000,0.000000,0.00,0,1,-0.0087,-0.9956,0.4963,138.2290,-15.6412,-76.2977,1.113,0,NONE,1
5.907,22.75,70.68,1004.32,0.000000,0.000000,0.00,0,1,0.2112,-0.5996,0.5698,141.8702,-15.4351,-123.4657,0.854,0,NONE,1
5.988,22.76,70.73,1004.36,0.000000,0.000000,0.00,0,1,-0.4146,-0.7573,0.6619,43.3359,-50.0687,-96.7099,1.088,0,NONE,1
6.104,22.76,70.75,1004.32,0.000000,0.000000,0.00,0,1,-0.2522,-0.6104,0.9163,88.5115,5.6794,-50.1221,1.129,0,NONE,1
6.207,22.76,70.79,1004.34,0.000000,0.000000,0.00,0,1,-0.2253,-0.6575,0.8706,15.3893,-4.5344,-0.6489,1.114,0,NONE,1
6.262,22.76,70.75,1004.37,0.000000,0.000000,0.00,0,1,-0.2017,-0.5916,0.7903,48.0153,-0.6031,41.3435,1.008,0,NONE,1
6.324,22.73,70.74,1004.28,0.000000,0.000000,0.00,0,1,-0.1956,-0.4136,0.7371,-12.3359,-6.1832,35.7405,0.867,0,NONE,1
6.432,22.76,70.75,1004.36,0.000000,0.000000,0.00,0,1,0.0610,-0.6438,1.1799,-45.3664,42.2061,27.0916,1.346,0,NONE,1
6.486,22.76,70.75,1004.36,0.000000,0.000000,0.00,0,1,-0.2637,-0.3052,0.6294,7.9771,3.6412,16.4275,0.748,0,NONE,1
6.568,22.74,70.75,1004.28,0.000000,0.000000,0.00,0,1,-0.5376,-0.5930,0.7256,16.9618,11.9313,10.8092,1.080,0,NONE,1
6.664,22.77,70.71,1004.35,0.000000,0.000000,0.00,0,1,-0.4370,-0.6216,0.7207,11.9695,-9.5038,15.4809,1.047,0,NONE,1
6.719,22.77,70.69,1004.33,0.000000,0.000000,0.00,0,1,-0.4397,-0.5750,0.6282,18.0763,-0.7786,41.8168,0.958,0,NONE,1
6.781,22.77,70.69,1004.33,0.000000,0.000000,0.00,0,1,-0.4697,-0.6199,0.6790,18.2672,55.1298,77.5038,1.032,0,NONE,1
6.841,22.73,70.68,1004.29,0.000000,0.000000,0.00,0,1,-0.4595,-0.6084,0.6033,10.1450,96.8550,78.3511,0.972,0,NONE,1
6.902,22.73,70.68,1004.29,0.000000,0.000000,0.00,0,1,-0.5181,-0.5840,0.4932,43.8473,139.9160,98.9084,0.923,0,NONE,1
6.962,22.76,70.65,1004.33,0.000000,0.000000,0.00,0,1,-0.4343,-0.5710,0.4033,52.0000,149.8626,69.2290,0.823,0,NONE,1
7.022,22.75,70.67,1004.32,0.000000,0.000000,0.00,0,1,-0.6492,-0.2720,0.0405,137.0611,-32.9084,6.1145,0.705,0,NONE,2
7.175,22.76,70.66,1004.36,0.000000,0.000000,0.00,0,1,-0.8069,-0.3789,0.1699,-66.2595,-17.3588,-42.9389,0.907,0,NONE,2
7.229,22.77,70.64,1004.36,0.000000,0.000000,0.00,0,1,-0.7632,-0.0515,0.0820,-0.7939,-39.5878,-25.8702,0.769,0,NONE,2
7.325,22.74,70.64,1004.29,0.000000,0.000000,0.00,0,1,-0.8413,-0.4932,0.3557,24.7481,-36.3588,-18.6794,1.038,0,NONE,2
7.380,22.74,70.65,1004.32,0.000000,0.000000,0.00,0,1,-0.6074,-0.2385,0.3269,19.5954,-6.5115,-8.3893,0.730,0,NONE,2
7.462,22.76,70.66,1004.32,0.000000,0.000000,0.00,0,1,-0.7207,-0.2810,0.4963,15.0382,-8.3817,-4.3130,0.919,0,NONE,2
7.516,22.77,70.65,1004.35,0.000000,0.000000,0.00,0,1,-0.7888,-0.2542,0.4080,6.7481,-7.7557,1.9695,0.924,0,NONE,2
7.606,22.74,70.62,1004.28,0.000000,0.000000,0.00,0,1,-0.7400,-0.3735,0.3728,2.5038,5.0153,-0.4046,0.909,0,NONE,2
7.660,22.74,70.62,1004.28,0.000000,0.000000,0.00,0,1,-0.7627,-0.3621,0.4146,4.1756,2.5573,8.3817,0.941,0,NONE,2
7.720,22.75,70.58,1004.31,0.000000,0.000000,0.00,0,1,-0.7676,-0.3618,0.3811,4.3206,1.2824,5.0382,0.930,0,NONE,2
7.825,22.75,70.59,1004.30,0.000000,0.000000,0.00,0,1,-0.7314,-0.9373,0.4629,-38.5649,-53.6412,0.7786,1.276,0,NONE,2
7.907,22.78,70.59,1004.36,0.000000,0.000000,0.00,0,1,-0.6985,-0.3259,0.3789,9.0611,-0.3740,23.1145,0.859,0,NONE,2
7.995,22.76,70.58,1004.33,0.000000,0.000000,0.00,0,1,-0.7170,-0.3386,0.4204,-14.5802,16.5267,-22.2137,0.898,0,NONE,2
8.050,22.76,70.58,1004.33,0.000000,0.000000,0.00,0,1,-0.8025,-0.4565,0.3699,-8.5573,34.5496,-0.1679,0.995,0,NONE,2
