Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
20.658,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.1187,-0.0778,1.3357,250.1298,-23.2443,82.9084,1.343,1,NONE,6
20.666,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0959,-0.0566,1.3401,250.1298,-31.1145,85.6947,1.345,1,NONE,6
20.674,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0971,-0.0490,1.3499,250.1298,-39.8626,86.7634,1.354,1,NONE,6
20.682,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0437,-0.0371,1.3716,250.1298,-50.0534,90.5496,1.373,1,NONE,6
20.690,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0744,-0.0554,1.3650,250.1298,-60.6412,95.0458,1.368,1,NONE,6
20.699,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0903,-0.0712,1.3843,250.1298,-74.1374,98.8855,1.389,1,NONE,6
20.707,22.94,67.51,1004.34,0.000000,0.000000,0.00,0,1,0.0988,-0.0744,1.3555,250.1298,-89.5496,106.1298,1.361,1,NONE,6
20.715,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,0.0856,-0.0773,1.3306,250.1298,-107.4427,115.7786,1.336,1,NONE,6
20.723,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,0.0661,-0.0795,1.3096,250.1298,-121.4733,128.7328,1.314,1,NONE,6
20.731,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,0.0607,-0.0820,1.2981,250.1298,-135.0534,142.1832,1.302,1,NONE,6
20.739,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,0.0666,-0.0732,1.2847,250.1298,-146.6336,154.5649,1.288,1,NONE,6
20.747,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,0.0600,-0.0708,1.3091,246.2672,-156.2061,165.2443,1.312,1,NONE,6
20.757,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,-0.0009,-0.0915,1.3850,229.5267,-163.1450,181.4504,1.388,1,NONE,6
20.773,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,-0.0886,-0.1067,1.5168,191.8702,-161.2443,209.1603,1.523,1,NONE,6
20.788,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,-0.1277,-0.0849,1.5955,151.7710,-147.2366,229.9695,1.603,1,NONE,6
20.804,22.94,67.47,1004.34,0.000000,0.000000,0.00,0,1,-0.1450,-0.0415,1.5723,118.9618,-126.8473,232.2519,1.579,1,NONE,6
20.819,22.91,67.49,1004.30,0.000000,0.000000,0.00,0,1,-0.1626,-0.0173,1.4744,81.8092,-104.0611,221.6870,1.483,1,NONE,6
20.835,22.91,67.49,1004.30,0.000000,0.000000,0.00,0,1,-0.1282,-0.0144,1.4065,47.8015,-78.0534,205.7252,1.412,1,NONE,6
20.850,22.91,67.49,1004.30,0.000000,0.000000,0.00,0,1,-0.1292,-0.0712,1.4106,23.7252,-53.7939,196.4275,1.418,1,NONE,6
