Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
75.954,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.1213,0.3088,-0.1660,-250.1374,-43.6412,134.4809,0.371,1,DISABLED,24
75.962,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.0227,0.2334,-0.1973,-250.1374,-59.0916,128.1374,0.306,1,DISABLED,24
75.970,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,-0.0075,0.2410,-0.2253,-250.1374,-70.2901,126.9771,0.330,1,DISABLED,24
75.978,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.0637,0.1816,-0.3132,-250.1374,-90.1527,129.6718,0.368,1,DISABLED,24
75.986,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.1379,0.1211,-0.3984,-250.1374,-120.6947,134.9847,0.439,1,DISABLED,24
75.994,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.2869,-0.0788,-0.4800,-250.1374,-182.3588,154.3206,0.565,1,DISABLED,24
76.004,34.79,56.14,1005.48,0.000000,0.000000,0.00,0,0,0.4783,-0.2415,-0.6536,-250.1374,-250.1374,194.2901,0.845,1,DISABLED,24
76.020,34.81,56.11,1005.66,0.000000,0.000000,0.00,0,0,0.4729,-0.3535,-0.5598,-250.1374,-250.1374,250.1298,0.814,1,DISABLED,24
76.035,34.81,56.11,1005.66,0.000000,0.000000,0.00,0,0,-0.4746,0.1450,-0.0649,-250.1374,-250.1374,237.9771,0.501,1,DISABLED,24
76.050,34.80,55.92,1005.08,0.000000,0.000000,0.00,0,0,-0.3416,-0.6458,0.4753,-250.1374,-250.1374,94.2214,0.872,1,DISABLED,24
76.128,34.80,55.92,1005.08,0.000000,0.000000,0.00,0,0,0.1172,-1.1479,0.6348,-250.1374,-250.1374,174.4198,1.317,1,DISABLED,24
76.205,34.80,55.92,1005.08,0.000000,0.000000,0.00,0,0,0.3833,-1.1082,0.6531,-250.1374,-250.1374,201.9542,1.342,1,DISABLED,24
76.213,34.80,55.92,1005.07,0.000000,0.000000,0.00,0,0,0.4731,-0.9360,0.6389,-250.1374,-250.1374,226.0840,1.228,1,DISABLED,24
76.222,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.3938,-0.8267,0.6267,-250.1374,-250.1374,243.3969,1.110,1,DISABLED,24
76.230,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.4165,-0.8691,0.6506,-250.1374,-250.1374,250.1298,1.163,1,DISABLED,24
76.238,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.3958,-0.8430,0.6868,-237.9237,-250.1374,250.1298,1.157,1,DISABLED,24
76.246,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.3806,-0.6609,0.6357,-204.6565,-250.1374,250.1298,0.993,1,DISABLED,24
76.254,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.3887,-0.4854,0.4424,-161.1985,-250.1374,243.4657,0.763,1,DISABLED,24
76.262,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.7073,-0.3350,0.3647,-106.5267,-250.1374,185.3969,0.863,1,DISABLED,24
76.270,34.79,55.79,1005.07,0.000000,0.000000,0.00,0,0,0.7649,-0.4045,0.5298,-30.2137,-250.1374,116.2214,1.015,1,DISABLED,24
76.278,34.79,55.63,1004.97,0.000000,0.000000,0.00,0,0,0.2217,-0.5583,1.2100,151.7099,-250.1374,18.8779,1.351,1,DISABLED,24
76.356,34.77,55.63,1004.97,0.000000,0.000000,0.00,0,0,0.1211,-0.4189,1.2175,173.5267,-250.1374,10.8473,1.293,1,DISABLED,24
76.364,34.77,55.63,1004.97,0.000000,0.000000,0.00,0,0,-0.0288,-0.3816,1.2915,196.7023,-250.1374,-4.6107,1.347,1,DISABLED,24
76.372,34.77,55.63,1004.97,0.000000,0.000000,0.00,0,0,-0.0871,-0.3503,1.3342,213.4657,-250.1374,-7.2519,1.382,1,DISABLED,24
